558340	DSName	XSec	FiltEff	kFactor
515024	MGPy8EG_A14N23LO_HNL17p5_ctau0p1_mumumu	570550000	1	1
515025	MGPy8EG_A14N23LO_HNL17p5_ctau1_mumumu	5705500000	1	1
515026	MGPy8EG_A14N23LO_HNL17p5_ctau10_mumumu	57055000000	1	1
515027	MGPy8EG_A14N23LO_HNL17p5_ctau100_mumumu	570550000000	1	1
515028	MGPy8EG_A14N23LO_HNL20_ctau0p1_mumumu	1095500000	1	1
515029	MGPy8EG_A14N23LO_HNL20_ctau1_mumumu	10955000000	1	1
515030	MGPy8EG_A14N23LO_HNL20_ctau10_mumumu	109550000000	1	1
515031	MGPy8EG_A14N23LO_HNL20_ctau100_mumumu	1095500000000	1	1
515032	MGPy8EG_A14N23LO_HNL1_ctau0p1_mumue	893.8	1	1
515033	MGPy8EG_A14N23LO_HNL1_ctau1_mumue	8938	1	1
515034	MGPy8EG_A14N23LO_HNL1_ctau10_mumue	89380	1	1
515035	MGPy8EG_A14N23LO_HNL1_ctau100_mumue	893800	1	1
515036	MGPy8EG_A14N23LO_HNL1_ctau1000_mumue	8939000	1	1
515037	MGPy8EG_A14N23LO_HNL2_ctau0p1_mumue	28605	1	1
515038	MGPy8EG_A14N23LO_HNL2_ctau1_mumue	286050	1	1
515039	MGPy8EG_A14N23LO_HNL2_ctau10_mumue	2862500	1	1
515040	MGPy8EG_A14N23LO_HNL2_ctau100_mumue	28575000	1	1
515041	MGPy8EG_A14N23LO_HNL2_ctau1000_mumue	285780000	1	1
515042	MGPy8EG_A14N23LO_HNL3_ctau0p1_mumue	215670	1	1
515043	MGPy8EG_A14N23LO_HNL3_ctau1_mumue	2157300	1	1
515044	MGPy8EG_A14N23LO_HNL3_ctau10_mumue	21573000	1	1
515045	MGPy8EG_A14N23LO_HNL3_ctau100_mumue	215730000	1	1
515046	MGPy8EG_A14N23LO_HNL3_ctau1000_mumue	2157800000	1	1
515047	MGPy8EG_A14N23LO_HNL4_ctau0p1_mumue	908550	1	1
515048	MGPy8EG_A14N23LO_HNL4_ctau1_mumue	9085500	1	1
515049	MGPy8EG_A14N23LO_HNL4_ctau10_mumue	90855000	1	1
515050	MGPy8EG_A14N23LO_HNL4_ctau100_mumue	905400000	1	1
515051	MGPy8EG_A14N23LO_HNL4_ctau1000_mumue	9085500000	1	1
515052	MGPy8EG_A14N23LO_HNL5_ctau0p1_mumue	2783800	1	1
515053	MGPy8EG_A14N23LO_HNL5_ctau1_mumue	27838000	1	1
515054	MGPy8EG_A14N23LO_HNL5_ctau10_mumue	278380000	1	1
515055	MGPy8EG_A14N23LO_HNL5_ctau100_mumue	2783800000	1	1
515056	MGPy8EG_A14N23LO_HNL5_ctau1000_mumue	27838000000	1	1
515057	MGPy8EG_A14N23LO_HNL7p5_ctau0p1_mumue	20943000	1	1
515058	MGPy8EG_A14N23LO_HNL7p5_ctau1_mumue	209430000	1	1
515059	MGPy8EG_A14N23LO_HNL7p5_ctau10_mumue	2094300000	1	1
515060	MGPy8EG_A14N23LO_HNL7p5_ctau100_mumue	20943000000	1	1
